Block Height,Timestamp,Address,Algorithm,Difficulty
3413936,2025-07-29 13:48:28,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,20.40307633933132
3413937,2025-07-29 13:48:47,Unknown,Stake,89577184.03118311
3413938,2025-07-29 13:48:41,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.02652604666028
3413939,2025-07-29 13:51:27,Unknown,Stake,89608981.36077851
3413940,2025-07-29 13:51:26,Unknown,Stake,89640458.69592191
3413941,2025-07-29 13:51:26,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,21.42022139090689
3413942,2025-07-29 13:52:36,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,21.31241171150113
3413943,2025-07-29 13:52:52,Unknown,Stake,98367895.01649538
3413944,2025-07-29 13:53:23,Unknown,Stake,98432429.4127011
3413945,2025-07-29 13:54:04,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,13.62823749597902
3413946,2025-07-29 13:54:27,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,13.07374366455329
3413947,2025-07-29 13:55:17,Unknown,Stake,99991716.25091831
3413948,2025-07-29 13:55:10,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,22.68889084233232
3413949,2025-07-29 13:59:22,Unknown,Stake,100145299.3672079
3413950,2025-07-29 13:59:08,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.55703293156996
3413951,2025-07-29 14:03:11,VGFf24bPSfe4ETQftBSbzBKsV5wWKt35Hf,SHA256D,15.16185821545669
3413952,2025-07-29 14:03:37,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.52425457478777
3413953,2025-07-29 14:04:14,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.49158953469169
3413954,2025-07-29 14:05:28,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.0249593056868446
3413955,2025-07-29 14:07:27,Unknown,Stake,90091894.25962356
3413956,2025-07-29 14:07:13,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.02542670776221692
3413957,2025-07-29 14:09:52,Unknown,Stake,90103545.59757838
3413958,2025-07-29 14:09:40,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.52939918835599
3413959,2025-07-29 14:09:55,bv1qjx2g5rnhx8wa92sy3fem2a030wt64x0ttrxu3n,ProgPoW,16.5742732128797
3413960,2025-07-29 14:12:19,Unknown,Stake,90115344.20551127
3413961,2025-07-29 14:13:14,Unknown,Stake,90155436.3924332
3413962,2025-07-29 14:13:00,bv1qmce5q6xy8rk8evnzxz9guvuspzsr074ushd26z,RandomX,0.0253729869737675
3413963,2025-07-29 14:13:56,bv1qf85ldqmp5z3z8x659834z4nlhyx6r0c7qalgt3,ProgPoW,16.54633715276476
3413964,2025-07-29 14:15:36,bv1qzggn4kvtxdxhzr3yueamu2lqrtvxytaeye8mcm,ProgPoW,16.51867401313069
3413965,2025-07-29 14:17:26,Unknown,Stake,90185854.03472662
3413966,2025-07-29 14:17:51,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,21.22615262572575
3413967,2025-07-29 14:18:03,bv1qg7jqg468qsplnnngwpc8ur29mmkdh3kfsgaqvy,ProgPoW,21.13520922357494
